Domaine,Thème_canonique_suggéré,Décision,Citation,Tribunal,Juridiction_applicable,Dispositions_codification_ancrage,Principe_ciblé_pour_la_fiche,Mention_Droitis_recommandée,Source_1_decision,Source_2_texte_loi,Source_3_commentaire
Consommation (LPC),Garantie légale / vice caché / manufacturier,General Motors Products of Canada c. Kravitz,[1979] 1 RCS 790,CSC,QC,"C.c.Q. art. 1442, 1726-1730; LPC art. 37-38, 53-54",Opposabilité de la garantie légale au manufacturier / acquéreur subséquent (transposition en droit actuel),"Dans la fiche, ajouter un encadré «Codification» : principe Kravitz → CCQ 1442 & 1730 (garantie du manufacturier) + LPC 37-38/53-54 (garantie/recours consommateur).",https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/item/2647/index.do,https://www.legisquebec.gouv.qc.ca/fr/version/lc/CCQ-1991?code=se%3A1442,https://www.lavery.ca/fr/publications/nos-publications/1905-general-motors-products-of-canada-ltd-c-kravitz-l-heritage-legislatif.html
Consommation (LPC),Arbitrage / contrats d’adhésion / recours collectif,Dell Computer Corp. c. Union des consommateurs,2007 CSC 34,CSC,QC,LPC art. 11.1; C.p.c. (recours collectif) arts 571-575 (aujourd'hui); C.c.Q. art. 1437 (clause abusive) (souvent discuté),Arbitrage vs recours collectif; portée de l’interdiction/encadrement des clauses d’arbitrage en matière de consommation,"Dans la fiche, mentionner «Cadre LPC 11.1» et rappeler l'interface arbitrage/recours collectif (C.p.c.).",https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/item/2374/index.do,https://www.legisquebec.gouv.qc.ca/fr/version/lc/P-40.1?code=se%3A11.1,https://canliiconnects.org/fr/r%C3%A9sum%C3%A9/31401
Consommation (LPC),Arbitrage / recours collectif / télécom,Rogers Sans-fil inc. c. Muroff,2007 CSC 35,CSC,QC,LPC (contrats de consommation; renvoi discuté); C.p.c. (arbitrage/compétence) + jurisprudence Dell,Compétence arbitrale et contrôle judiciaire; articulation avec protections consommateur,"Dans la fiche, lier Muroff à Dell pour le «test de renvoi à l’arbitrage» en contexte consommateur.",https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/item/2375/index.do,https://www.legisquebec.gouv.qc.ca/fr/version/lc/P-40.1?code=se%3A11.1,https://www.fasken.com/en/experience/2007/07/rogers-wireless-inc%2C-d-%2C-v%2C-d-%2C-muroff
Consommation (LPC),Pratiques interdites / impression générale,Richard c. Time Inc.,2012 CSC 8,CSC,QC,"LPC art. 218-219, 228, 272",Test de l’«impression générale» et consommateur crédule et inexpérimenté; dommages punitifs/recours,"Dans la fiche, ajouter «Codification/Ancrage»: LPC 218-219 (représentation trompeuse) + 272 (remèdes).",https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/item/7994/index.do,https://www.legisquebec.gouv.qc.ca/fr/version/lc/P-40.1?code=se%3A218,https://www.smartbiggar.ca/insights/publication/-em-richard-v-time-inc-em-
Consommation (LPC),Frais de conversion / divulgation / cartes de crédit,Banque de Montréal c. Marcotte,2014 CSC 55,CSC,QC,"LPC art. 12, 16-17, 219, 272 (selon le volet); interaction avec lois fédérales (ex. lettres de change)",Divulgation de frais; prépondérance fédérale vs LPC; restitution et punitifs,"Dans la fiche, afficher «Juridiction MIXTE» si conflit de normes; rappeler LPC comme norme de protection et analyser la prépondérance.",https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/item/14352/index.do,https://www.legisquebec.gouv.qc.ca/fr/version/lc/P-40.1?code=se%3A12,https://decisions.scc-csc.ca/scc-csc/bulletins/en/item/4693/index.do
Consommation (LPC),Frais de conversion / cartes de crédit,Banque Amex du Canada c. Adams,2014 CSC 56,CSC,QC,"LPC art. 12, 219, 272",Application des exigences de divulgation (frais) et seuil des dommages punitifs,"Dans la fiche, renvoyer à l’arrêt BMO (Marcotte) comme «arrêt compagnon» + LPC 12/272.",https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/item/14354/index.do,https://www.legisquebec.gouv.qc.ca/fr/version/lc/P-40.1?code=se%3A12,https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/14354/1/document.do
Consommation (LPC),Frais de conversion / coopératives financières,Marcotte c. Fédération des caisses Desjardins du Québec,2014 CSC 57,CSC,QC,"LPC art. 12, 219, 272",Même logique que Marcotte/Adams; application à Desjardins,"Dans la fiche, rappeler que c’est une trilogie: BMO 55 / Amex 56 / Desjardins 57.",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/14353/index.do,https://www.legisquebec.gouv.qc.ca/fr/version/lc/P-40.1?code=se%3A12,https://decisions.scc-csc.ca/scc-csc/scc-csc/en/14353/1/document.do
Consommation (LPC),Recours collectif / marché / complot,Infineon Technologies AG c. Option consommateurs,2013 CSC 59,CSC,QC,C.p.c. art. 575 (autorisation) (ancien 1003); règles de rattachement en droit international privé (souvent discutées),Seuil d’autorisation d’un recours collectif; approche souple du «cause défendable»,"Dans la fiche, encadré «Codification»: CPC 575 (critères) — l'arrêt sert de guide d'interprétation pour l’article.",https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/item/13318/index.do,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-25.01?code=se%3A575,https://www.osler.com/en/insights/blogs/classactions/november-2013/supreme-court-of-canada-clarifies-quebec-s-class-action-authorization-test-and-confirms-competition-law-class-action
Consommation (LPC),Attribution de compétence / recours collectif,Desjardins Cabinet de services financiers inc. c. Asselin,2020 CSC 30,CSC,QC,C.p.c. art. 575 (autorisation); règles de prescription/gestion du groupe selon le cas,Autorisation: analyse de la cause défendable et preuve minimale; gestion du recours,"Dans la fiche, lier à CPC 575 et préciser le standard de preuve à l'étape autorisation.",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/18528/index.do,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-25.01?code=se%3A575,https://www.blg.com/en/insights/2020/11/nouveau-jugement-de-la-cour-supreme-en-matiere-daction-collective
Consommation (contrats standard / forum),Clauses externes / accès à la justice (numérique),"Douez c. Facebook, Inc.",2017 CSC 33,CSC,CA (BC) / principes généraux applicables,Forum selection clause; test Pompey; notions d’iniquité/abus en contrats standard (comparables en QC: C.c.Q. art. 1437; DI privé: art. 3148),Opposabilité d’une clause d’élection de for; contrôle accru en contrats de consommation,"Dans la fiche, créer bloc «Attention — clause d’élection de for»; en QC, pointer aussi vers C.c.Q. 1437 (clause abusive) et 3148 (compétence).",https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/item/16700/index.do,https://www.legisquebec.gouv.qc.ca/fr/version/lc/CCQ-1991?code=se%3A3148,https://lawjournal.mcgill.ca/article/contracting-out-of-access-to-justice-enforcement-of-forum-selection-clauses-in-consumer-contracts/
Responsabilité civile (C.c.Q.),Troubles de voisinage,Ciment du Saint-Laurent inc. c. Barrette,2008 CSC 64,CSC,QC,C.c.Q. art. 976,Régime autonome des troubles anormaux de voisinage (sans faute) et critères d'application,Dans la fiche: bloc «Codification» : 976 C.c.Q. = fondement des troubles de voisinage; rappeler que le test provient de la jurisprudence (dont Ciment).,https://www.canlii.org/en/ca/scc/doc/2008/2008scc64/2008scc64.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/CCQ-1991?code=se%3A976,https://cqde.org/arr%C3%AAt-ciment-du-saint-laurent-inc-c-barrette-2008-csc-64/
Responsabilité civile (C.c.Q.),Diffamation civile,Prud'homme c. Prud'homme,2002 CSC 85,CSC,QC,C.c.Q. art. 1457,Triptyque faute-préjudice-lien causal appliqué à la diffamation; équilibre avec liberté d'expression,Dans la fiche: relier la diffamation au régime général 1457 et préciser la méthode d'analyse (faute/préjudice/causalité).,https://www.canlii.org/fr/ca/csc/doc/2002/2002csc85/2002csc85.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/ccq-1991?code=se%3A1457,https://www.canlii.org/fr/doctrine/doc/2015CanLIIDocs500
Responsabilité civile (C.c.Q.),Responsabilité professionnelle (médecins),St-Jean c. Mercier,2002 CSC 15,CSC,QC,C.c.Q. art. 1457; (principes de faute et causalité en contexte médical),Standard de conduite du professionnel et appréciation de la faute en responsabilité médicale,Dans la fiche: ancrer à 1457 C.c.Q.; préciser que la faute professionnelle s'évalue selon la conduite attendue d'un professionnel prudent et diligent.,https://www.canlii.org/en/ca/scc/doc/2002/2002scc15/2002scc15.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/CCQ-1991?code=se%3A1457,https://www.canlii.org/fr/doctrine/doc/2015CanLIIDocs500
